name,d_distance,side,sex,chase,tandem,sally,range,min,max,territorial,d_canopy_cover,d_canopy_height,position
d1,77,l,m,nc,nt,ns,46.4,30.4,76.8,n,97.14,12.9,60
d2,75,l,m,nc,nt,ns,0,0,0,n,96.1,7.7,70
d3,44,r,m,nc,nt,ns,0,0,0,n,95.58,7.7,40
d4,38,r,m,nc,nt,s,15,25.6,37.8,y,95.32,6.2,35
d5,42,r,m,c,nt,ns,12,25.6,42.4,y,95.32,6.2,35
d6,40,r,m,nc,nt,ns,12.2,40.3,52.5,n,95.58,6.6,45
d7,40,r,m,nc,nt,ns,22.9,30.8,53.7,n,95.58,7.7,40
d8,4,r,m,c,nt,s,13.8,3.5,17.3,y,95.06,5.2,10
d9,57,l,m,c,nt,ns,31.5,25.9,57.4,y,96.36,9.2,40
d10,36,r,m,c,nt,ns,20.4,16,36.4,y,95.58,9.4,20
d11,58,l,m,nc,nt,ns,0,0,0,n,96.88,10,55
d12,21,r,m,c,nt,ns,4.3,16.5,20.8,y,96.62,10.3,15
d13,53,l,m,nc,nt,ns,25.5,52.5,78,n,,,65
d14,53,l,m,nc,nt,ns,0,0,0,n,97.92,8.3,50
d15,75,l,m,c,nt,ns,0,0,0,y,96.1,7.7,70
d16,75,l,m,nc,nt,ns,62.6,12.6,75.2,n,96.36,9.4,30
d17,64,l,m,nc,nt,ns,0,0,0,n,97.92,9.6,60
d18,36,r,m,nc,nt,ns,42.7,36.4,79.1,n,97.4,6.4,50
d19,31,r,m,c,nt,ns,9.2,25.4,34.6,y,95.06,8,25
d20,54,l,m,nc,nt,ns,0,0,0,n,97.92,8.3,50
d21,17,r,m,c,nt,s,1.3,15.3,16.6,y,,,15
d22,13,l,m,c,nt,s,3.7,12.7,16.4,y,95.06,5.2,10
d23,18,r,m,nc,nt,ns,8.7,17.6,26.3,n,95.58,9.4,20
d24,18,r,m,c,nt,ns,13.8,16.6,30.4,y,95.58,9.4,20
d25,18,r,m,nc,nt,ns,0,0,0,n,96.62,10.3,15
d26,19,r,m,c,nt,ns,38.2,18.5,56.7,y,95.32,6.2,35
d27,11,r,m,c,nt,s,60.3,2.1,62.4,y,95.06,6.2,30
d28,12,r,m,nc,nt,ns,18.4,11.5,29.9,n,95.58,9.4,20
d29,1,r,m,nc,nt,ns,0,0,0,n,91.94,9.8,0
d30,38,r,m,nc,t,ns,6.5,31,37.5,y,95.06,6.2,30
d31,38,r,m,nc,nt,ns,0,0,0,n,95.32,6.2,35
d32,38,r,m,nc,nt,ns,0,0,0,n,95.32,6.2,35
d33,51,l,m,nc,nt,ns,13,38,51,n,95.58,7.7,40
d34,30,r,m,nc,t,ns,4.7,25.5,30.2,y,,,25
d35,38,r,m,nc,nt,ns,0,0,0,n,95.32,6.2,35
d36,26,r,m,nc,t,ns,25,25.5,50.5,y,95.32,6.2,35
d37,26,r,m,nc,nt,ns,0,0,0,n,94.8,6.4,25
d38,44,r,m,nc,nt,ns,0,0,0,n,95.58,7.7,40
d39,37,r,f,nc,t,ns,21.3,15.5,36.8,y,,,25
d40,37,r,m,nc,t,ns,0,0,0,y,95.32,6.2,35
d41,1,r,m,nc,t,ns,0,0,0,y,91.94,9.8,0
d42,35,r,f,nc,t,ns,0,0,0,y,95.06,6.2,30
d43,51,r,f,nc,t,ns,0,0,0,y,97.4,6.4,50
d44,21,l,m,nc,t,ns,3.7,17.1,20.8,y,97.66,9.4,15
d45,42,r,m,nc,nt,ns,11.7,30.4,42.1,n,95.32,6.2,35
d46,41,l,f,nc,t,ns,0,0,0,y,96.36,9.2,40
d47,57,r,f,nc,t,ns,0,0,0,y,98.18,14.1,55
d48,57,r,m,nc,t,ns,0,0,0,y,98.18,14.1,55
d49,16,l,m,c,t,s,15.3,15.5,30.8,y,,,25
d50,78,l,m,nc,nt,ns,0,0,0,n,97.66,7.7,75
d51,26,r,f,nc,t,ns,0,0,0,y,94.8,6.4,25
d52,26,r,m,c,t,s,16.8,25.8,42.6,y,95.32,6.2,35
d53,38,r,m,c,nt,ns,0.6,37.8,37.2,y,95.32,6.2,35
d54,31,r,m,c,nt,s,11.6,25.4,37,y,95.06,8,25
d55,31,r,m,nc,nt,ns,0,0,0,n,95.06,6.2,30
d56,19,r,m,nc,nt,ns,0,0,0,n,96.62,10.3,15
d57,18,r,m,nc,nt,ns,57.4,17.9,75.3,n,96.88,10,55
d58,3,r,m,c,nt,ns,61.2,3.2,64.4,y,,,30
d59,18,r,m,c,nt,ns,14.7,3,17.7,y,,,10
d60,12,r,m,nc,nt,ns,0,0,0,n,96.1,9.8,10
d61,18,r,m,nc,nt,ns,0,0,0,n,96.62,10.3,15
d62,14,l,m,c,nt,ns,12.3,3.5,15.8,y,95.06,5.2,10
d63,38,r,m,c,nt,ns,11.2,26.7,37.9,y,95.06,6.2,30
d64,26,r,m,nc,nt,ns,0,0,0,n,94.8,6.4,25
d65,54,r,m,nc,nt,ns,0,0,0,n,98.18,14.1,50
d66,45,r,m,nc,nt,s,6.1,39.2,45.3,y,95.58,7.7,40
d67,40,l,m,c,nt,ns,32.5,20.3,52.8,y,95.32,6.2,35
d68,31,r,m,c,nt,s,5.1,26,31.1,y,94.8,6.4,25
d69,44,r,m,nc,nt,ns,4.9,44,48.9,n,95.58,6.6,45
d70,58,l,m,nc,nt,ns,0,0,0,n,96.88,10,55
d71,75,r,m,nc,nt,ns,57.5,22.3,79.8,n,96.88,10,55
d72,75,r,m,nc,nt,ns,0,0,0,n,97.66,6.9,70
d73,46,l,m,c,nt,ns,20.9,25.4,46.3,y,96.36,9.4,30
d74,75,l,f,nc,t,ns,4.5,75.3,79.8,y,96.1,7.7,70
d75,75,l,f,nc,nt,ns,0,0,0,n,96.1,7.7,70
d76,79,l,m,nc,nt,ns,0,0,0,n,97.66,7.7,75
d77,79,l,m,nc,nt,ns,0,0,0,n,97.66,7.7,75
d78,79,l,m,nc,nt,ns,0,0,0,n,97.66,7.7,75
d79,79,l,m,nc,nt,s,0,0,0,y,97.66,7.7,75
d80,71,r,m,nc,nt,ns,0,0,0,n,97.66,6.9,70
d81,38,r,m,nc,nt,ns,0,0,0,n,95.32,6.2,35
d82,80,r,m,nc,nt,ns,0,0,0,n,96.62,11.2,80
d83,48,r,m,nc,nt,ns,0,0,0,n,95.58,6.6,45
d84,19,l,m,nc,nt,ns,0,0,0,n,97.66,9.4,15
d85,3,r,m,nc,nt,ns,0,0,0,n,91.94,9.8,0
d86,16,r,m,nc,nt,ns,0,0,0,n,96.62,10.3,15
d87,16,l,m,c,nt,s,0,0,0,y,97.66,9.4,15
d88,17,l,f,nc,t,ns,0,0,0,y,97.66,9.4,15
d89,26,r,f,nc,t,ns,0,0,0,y,94.8,6.4,25
d90,21,r,m,nc,nt,ns,0,0,0,n,95.58,9.4,20
d91,80,l,m,nc,nt,ns,0,0,0,n,96.36,7.1,80
