,d1,d4,d5,d6,d7,d8,d9,d10,d12,d13,d16,d18,d19,d21,d22,d23,d24,d26,d27,d28,d30,d33,d34,d36,d39,d44,d45,d49,d52,d53,d54,d57,d58,d59,d62,d63,d66,d67,d68,d69,d71,d73,d74
sex,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,f,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,f
chase,,,c,,,c,c,c,c,,,,c,c,c,,c,c,c,,,,,,,,,c,c,c,c,,c,c,c,c,,c,c,,,c,
tandem,,,,,,,,,,,,,,,,,,,,,t,,t,t,t,t,,t,t,,,,,,,,,,,,,,
feeding,,fd,,,,fd,,,,,,,,fd,fd,,,,fd,,,,,,,,,fd,fd,,fd,,,,,,fd,,fd,,,,t
distance_1,76.8,37.8,42.4,40.3,40.3,3.5,57.4,36.4,20.8,52.5,75.2,36.4,31.1,16.6,12.7,17.6,17.5,18.5,11.4,11.5,37.5,51,30.2,25.5,36.8,20.8,41.5,15.5,25.8,37.8,31.2,17.9,3.2,17.7,14.1,37.9,45.3,39.8,30.8,44,74.8,46.3,75.3
left_right_1,r,r,r,r,r,l,l,r,r,l,l,r,r,r,l,r,r,r,r,r,r,l ,r,r,r,l,r,l,r,r,r,r,r,r,l,r,r,l,r,r,r,r,l
distance_2,75.1,34.5,40.3,52.5,30.8,3.8,44.3,16.2,17.9,78,26.9,40.6,34.6,16.2,12.7,26.3,26.2,56.7,2.1,29.9,31,38,28.8,50.5,15.5,17.1,42,30.8,42,37.2,37,75.3,64.4,3,14,26.7,39.2,52.8,31.1,48.9,79.8,25.4,79.8
left_right_2,r,r,r,r,r,l,r,r,r,r,l,r,r,r,l,r,r,l,r,r,r,r,l,r,l ,l,r,r,r,r,r,l,l,l,l,r,r,l,r,r,l,l,l
distance_3,30.4,40.6,41.7,,41.8,17.3,25.9,16,16.9,,40.1,78.5,25.4,15.5,14.1,,16.6,31,37.2,26.7,,41.5,25.7,,,,42,30.8,42.3,,25.4,,,3,3.5,,39.5,20.3,31,,22.3,26,
left_right_3,l,l,r,,r,r,l,r,r,,r,l,l,l,l,,r,r,r,l,,r,l,,,,r,r,r,,l,,,l,l,,r,r,r,,l,l ,
distance_4,,25.6,41,,53.7,14.6,,,16.5,,13.8,79.1,25.5,15.3,14.1,,16.8,,36.5,,,,25.5,,,,42.1,26,42.6,,25.4,,,16.1,15.8,,42.4,,30.8,,,,
